name,district_id,school_number,tea_id,school_type,postal_code,gmap_lat,gmap_lng,gmap_addr
McDade Elementary,101912,202,101912202,Elementary School,77026,29.8093931,-95.3296589,"Mc Dade Elementary School, 5815 Hirsch Rd, Houston, TX 77026-1599"
McNamara Elementary,101912,227,101912227,Elementary School,77074,29.6852311,-95.504109,"Mc Namara Elementary School, 8714 Mcavoy Dr, Houston, TX 77074-7398"
McReynolds Middle School,101912,062,101912062,Middle School,77020,29.773283,-95.3124366,"McReynolds Middle School, Houston, TX 77020"
Memorial Elementary,101912,204,101912204,Elementary School,77007,29.7696725,-95.4254953,"Memorial Elementary School, 6401 Arnot St, Houston, TX 77007-2098"
Milby High School,101912,011,101912011,High School,77012,29.7102291,-95.277158,"Milby High School, 1601 Broadway St, Houston, TX 77012-3789"
Milne Elementary,101912,299,101912299,Elementary School,77071,29.6605098,-95.5138317,"A A Milne Elementary School, Houston, TX 77071"
Mitchell Elementary,101912,264,101912264,Elementary School,77075,29.6088431,-95.2757692,"Mitchell Elementary School, Houston, TX 77075"
Montgomery Elementary,101912,207,101912207,Elementary School,77045,29.621066,-95.4368853,"Montgomery Elementary School, 4000 Simsbrook Dr, Houston, TX 77045-5699"
Moreno ES,101912,359,101912359,Elementary School,77037,29.875017,-95.3899772,"Joe E Moreno Elementary, 620 E Canino Rd, Houston, TX 77037"
Mount Carmel Academy,101912,311,101912311,High School,77061,29.66073,-95.30174,"Mount Carmel Academy, 7155 Ashburn St, Houston, TX 77061"
N Q Henderson Elementary,101912,172,101912172,Elementary School,77020,29.769201,-95.321413,"N Q Henderson Elementary, 701 Solo St, Houston, TX 77020"
Neff Elementary,101912,209,101912209,Elementary School,77036,29.6971753,-95.5299431,"Neff Elementary School, 8200 Carvel Ln, Houston, TX 77036-6320"
New Aspirations,101912,327,101912327,High School,77074,29.691149,-95.508221,"New Aspirations Academy, 7055 Beechnut St, Houston, TX 77074"
Ninfa Laurenzo ECC,101912,357,101912357,Kindergarten,77011,29.746454,-95.319721,"Laurenzo Early Childhood Education Center, 205 N Delmar St, Houston, TX 77011"
North Alternative Elementary,101912,366,101912366,Elementary School,77016,29.834375,-95.309262,"North Alternative Elementary, 8110 Bertwood St, Houston, TX 77016"
North Alternative MS,101912,339,101912339,Middle School,77016,29.834375,-95.309262,"North Alternative Middle School, 8110 Bertwood St, Houston, TX 77016"
North Houston Early College HS,101912,308,101912308,High School,77022,29.8347691,-95.3759579,"North Houston Early College High School, 99 Lyerly St, Houston, TX 77022"
Northline Elementary,101912,210,101912210,Elementary School,77076,29.850781,-95.3868825,"Northline Elementary School, 821 E Witcher Ln, Houston, TX 77076-4845"
Oak Forest Elementary,101912,211,101912211,Elementary School,77018,29.8282819,-95.4346617,"Oak Forest Elementary School, 1401 W 43rd St, Houston, TX 77018-4198"
Oates Elementary,101912,212,101912212,Elementary School,77013,29.7932821,-95.2521569,"Oates Elementary School, 10044 Wallisville Rd, Houston, TX 77013-4616"
Ortiz Middle School,101912,338,101912338,Middle School,77061,29.663226,-95.286875,"Ortiz Middle School, 6767 Telephone Rd, Houston, TX 77061"
Osborne Elementary,101912,213,101912213,Elementary School,77088,29.8757666,-95.4164212,"Osborne Elementary, 800 Dillard St, Houston, TX 77088"
Park Place Elementary,101912,214,101912214,Elementary School,77017,29.6888408,-95.273269,"Park Place Elementary School, 8235 Park Pl Blvd, Houston, TX 77017-3199"
Parker Elementary,101912,215,101912215,Elementary School,77096,29.6663427,-95.4824419,"Parker Elementary School, 10626 Atwell Dr, Houston, TX 77096-4999"
Patterson Elementary,101912,216,101912216,Elementary School,77017,29.683563,-95.2429904,"Patterson Elementary School, 5302 Allendale Rd, Houston, TX 77017-6299"
Peck Elementary,101912,217,101912217,Elementary School,77021,29.7074517,-95.3349375,"Peck Elementary School, 5130 Arvilla Ln, Houston, TX 77021-2996"
Pershing Middle School,101912,064,101912064,Middle School,77025,29.702191,-95.4386723,"Pershing Middle School, 3838 Braes Blvd, Houston, TX 77025"
Petersen Elementary,101912,265,101912265,Elementary School,77045,29.618566,-95.4246626,"Petersen Elementary School, 14404 Waterloo Dr, Houston, TX 77045-6620"
Pilgrim Academy,101912,218,101912218,Multilevel School,77057,29.728864,-95.4936168,"Pilgrim Elementary, 6302 Skyline Dr, Houston, TX 77057"
Pin Oak Middle School,101912,337,101912337,Middle School,77401,29.719607,-95.45763,"Pin Oak Middle School, 4601 Glenmont St, Bellaire, TX 77401"
Piney Point Elementary,101912,219,101912219,Elementary School,77063,29.7265739,-95.5210737,"Piney Point Elementary: School Buildings, 8921 Pagewood Ln, Houston, TX 77063"
Pleasantville Elementary,101912,220,101912220,Elementary School,77029,29.7641165,-95.27188,"Pleasantville Elementary School, 1431 Gellhorn Dr, Houston, TX 77029-3399"
Poe Elementary,101912,221,101912221,Elementary School,77098,29.7280071,-95.4071617,"Schools, 5100 Hazard St, Houston, TX 77098"
Port Houston Elementary,101912,222,101912222,Elementary School,77029,29.7599499,-95.2838248,"Port Houston Elementary School, 1800 McCarty St, Houston, TX 77029-3797"
Project Chrysalis MS,101912,071,101912071,Middle School,77023,29.734143,-95.333354,"Project Chrysalis Middle School, 4528 Leeland St, Houston, TX 77023"
Pro-Vision School,101912,332,101912332,Middle School,77051,29.654561,-95.36,"Pro-Vision School, 4590 Wilmington St, Houston, TX 77051"
Pugh Elementary,101912,223,101912223,Elementary School,77020,29.7680054,-95.3068809,"Pugh Elementary School, 1147 Kress St, Houston, TX 77020-7498"
Reach Charter,101912,349,101912349,High School,77013,29.7791159,-95.2485458,"Furr Senior High School, 520 Mercury Dr, Houston, TX 77013-5299"
Reagan High School,101912,012,101912012,High School,77008,29.7949493,-95.393272,"Reagan High School: School Buildings, 413 E 13th St, Houston, TX 77008"
Red Elementary,101912,224,101912224,Elementary School,77035,29.6668981,-95.4541078,"Red Elementary: School Buildings, 4520 Tonawanda Dr, Houston, TX 77035"
Revere Middle School,101912,060,101912060,Middle School,77042,29.748012,-95.560766,"Revere Middle: School Buildings, 10502 Briar Forest Dr, Houston, TX 77042"
Reynolds Elementary,101912,225,101912225,Elementary School,77051,29.6516203,-95.3754943,"Reynolds Elementary: School Buildings, 9601 Rosehaven Dr, Houston, TX 77051"
Rhoads Elementary,101912,226,101912226,Elementary School,77047,29.6380095,-95.3629941,"Rhoads Elementary: School Buildings, 4103 Brisbane St, Houston, TX 77047"
Rice Elementary School,101912,280,101912280,Elementary School,77025,29.6988413,-95.4193844,"Rice Elementary School, 7550 Seuss Dr, Houston, TX 77025-2271"
Rice Middle School,101912,080,101912080,Middle School,77025,29.6988413,-95.4193844,"Rice Elementary School, 7550 Seuss Dr, Houston, TX 77025-2271"
River Oaks Elementary,101912,228,101912228,Elementary School,77019,29.748562,-95.4191064,"River Oaks Elementary: School Buildings, 2008 Kirby Dr, Houston, TX 77019"
Roberts Elementary,101912,229,101912229,Elementary School,77030,29.7127298,-95.4127175,"Oran M. Roberts Elementary School, 6000 Greenbriar St, Houston, TX 77030"
Robinson Elementary,101912,186,101912186,Elementary School,77013,29.7877657,-95.2145125,"Robinson Elementary, 12425 Woodforest Blvd, Houston, TX 77013"
Roderick R Paige ES,101912,113,101912113,Elementary School,77093,29.8271703,-95.3382702,"Roderick Paige Elementary, 7501 Curry Rd, Houston, TX 77093-8821"
Rodriguez Elementary,101912,372,101912372,Elementary School,77081,29.718799,-95.478089,"Rodriguez Elementary, 5858 Chimney Rock Rd, Houston, TX 77081"
Roosevelt Elementary,101912,231,101912231,Elementary School,77022,29.8188374,-95.3729935,"Roosevelt Elementary School, 6700 Fulton St, Houston, TX 77022-5499"
Ross Elementary,101912,232,101912232,Elementary School,77026,29.8005045,-95.3410482,"Ross Elementary School, 2819 Bay St, Houston, TX 77026-3298"
Rucker Elementary,101912,233,101912233,Elementary School,77017,29.6943961,-95.2418792,"Rucker Elementary School, 5201 Vinett St, Houston, TX 77017-4958"
Rusk Elementary,101912,234,101912234,Elementary School,77003,29.7532838,-95.3441043,"Rusk Elementary School, 2805 Garrow St, Houston, TX 77003-2323"
Ryan Middle School,101912,066,101912066,Middle School,77004,29.7335622,-95.3632716,"Ryan Middle: School Buildings, 2610 Elgin St, Houston, TX 77004"
Sam Houston School Math/Scienc,101912,310,101912310,High School,77076,29.846399,-95.3624627,"Sam Houston Math/Science/Technology Center, 9400 Irvington Blvd, Houston, TX 77076"
Sanchez Elementary,101912,281,101912281,Elementary School,77012,29.703285,-95.2835471,"Sanchez Elementary School, Houston, TX 77012"
Scarborough Elementary,101912,237,101912237,Elementary School,77093,29.8710578,-95.3374364,"Scarborough Elementary School, 3021 Little York Rd, Houston, TX 77093-3599"
Scarborough High School,101912,024,101912024,High School,77092,29.8299486,-95.4699405,"Scarborough High School, 4141 Costa Rica Rd, Houston, TX 77092-5299"
School at St George Place,101912,353,101912353,Elementary School,77056,29.732388,-95.468493,"St George Pl St, Houston, TX 77056"
Scott Elementary,101912,238,101912238,Elementary School,77026,29.7910603,-95.3304925,"Scott Elementary School, 3300 Russell St, Houston, TX 77026"
Scroggins Elementary,101912,269,101912269,Elementary School,77020,29.7821715,-95.2991028,"Scroggins Elementary School, Houston, TX 77020"
Seguin Elementary School,101912,373,101912373,Elementary School,77087,29.6791838,-95.3069003,"Seguin Elementary School, 5905 Waltrip St, Houston, TX 77087"
Shadowbriar Elementary,101912,276,101912276,Elementary School,77077,29.7368966,-95.5982782,"Shadowbriar School, 2650 Shadowbriar Dr, Houston, TX 77077-6000"
Sharpstown High School,101912,023,101912023,High School,77074,29.698842,-95.5316098,"Sharpstown High School, 7504 Bissonnet St, Houston, TX 77074-5599"
Sharpstown Middle School,101912,081,101912081,Middle School,77036,29.6982865,-95.5321653,"Sharpstown Middle School, 8330 Triola Ln, Houston, TX 77036"
Shearn Elementary,101912,239,101912239,Elementary School,77025,29.6766199,-95.4399406,"Shearn Elementary School, 9802 Stella Link Rd, Houston, TX 77025-4697"
Sherman Elementary,101912,240,101912240,Elementary School,77020,29.774769,-95.341166,"Sherman Elementary, 1510 Jensen Dr, Houston, TX 77020"
Sinclair Elementary,101912,241,101912241,Elementary School,77008,29.7935606,-95.428273,"Sinclair Elementary School, 6410 Grovewood Ln, Houston, TX 77008-3222"
SOAR Center,101912,069,101912069,Middle School,77027,29.7366957,-95.4414999,"Soar Center, 3233 Weslayan St, Houston, TX 77027"
South District Alternative,101912,387,101912387,Elementary School,77047,29.638425,-95.361906,"South District Alternative, 4103 Brisbane St, Houston, TX 77047"
South Early College HS,101912,454,101912454,High School,77033,29.675102,-95.342285,"South Early College HS, 7414 St Lo Rd, Houston, TX 77033"
Southmayd Elementary,101912,244,101912244,Elementary School,77012,29.7102292,-95.2885472,"Southmayd Elementary School, 1800 Coral St, Houston, TX 77012-3123"
Sterling High School,101912,014,101912014,High School,77048,29.6360648,-95.3229929,"Sterling High School, Houston, TX 77048"
Stevens Elementary,101912,245,101912245,Elementary School,77018,29.8274486,-95.4454955,"Stevens Elementary School, 1910 Lamonte Ln, Houston, TX 77018-4619"
Stevenson Elementary,101912,246,101912246,Elementary School,77007,29.7785611,-95.4196617,"Stevenson Elementary School, 5410 Cornish St, Houston, TX 77007-4302"
Stevenson Middle School,101912,098,101912098,Middle School,77017,29.67023,-95.242157,"Stevenson Middle School, 9595 Winkler Dr, Houston, TX 77017-5921"
Sugar Grove Academy,101912,163,101912163,Middle School,77074,29.6861595,-95.5135084,"Sugar Grove Academy Middle School, 8405 Bonhomme Rd, Houston, TX 77074"
Sutton Elementary,101912,248,101912248,Elementary School,77074,29.6980195,-95.5013748,"Sutton Elementary, 7402 Albacore Dr, Houston, TX 77074"
T H Rogers Elementary,101912,296,101912296,Elementary School,77057,29.750406,-95.479581,"T H Rogers Elementary, 5840 San Felipe St, Houston, TX 77057"
T H Rogers Middle School,101912,039,101912039,Middle School,77057,29.750406,-95.479581,"T H Rogers Middle School, 5840 San Felipe St, Houston, TX 77057"
Texas Connections Academy Hou,101912,100,101912100,Multilevel School,77079,29.783574,-95.608723,"Texas Connections Academy @ Houston, 950 Threadneedle St #130, Houston, TX 77079"
Thomas Middle School,101912,077,101912077,Middle School,77048,29.6377315,-95.333271,"Thomas Middle School, Houston, TX 77048"
Thompson Elementary,101912,243,101912243,Elementary School,77021,29.7046742,-95.3666051,"Thompson Elementary: School Buildings, 3500 Tampa St, Houston, TX 77021"
Tijerina Elementary,101912,279,101912279,Elementary School,77011,29.740527,-95.309592,"Tijerina Elementary School, 6501 Sherman St, Houston, TX 77011"
Travis Elementary,101912,249,101912249,Elementary School,77009,29.7882829,-95.3741049,"Travis Elementary: School Buildings, 3311 Beauchamp St, Houston, TX 77009"
TSU Charter Lab School,101912,328,101912328,Elementary School,77004,29.7232315,-95.3657162,"TSU Charter Lab School, 3100 Cleburne St, Houston, TX 77004"
Valley West Elementary,101912,285,101912285,Elementary School,77071,29.6646764,-95.5282766,"Valley West Elementary School, 10707 S Gessner Dr, Houston, TX 77071"
Vision Academy,101912,453,101912453,High School,77051,29.654561,-95.36,"Vision Academy High School, 4590 Wilmington St, Houston, TX 77051"
Wainwright Elementary,101912,252,101912252,Elementary School,77092,29.8227266,-95.4691073,"Wainwright Elementary School, 5330 Milwee St, Houston, TX 77092-6655"
WALIPP,101912,343,101912343,Middle School,77004,29.712476,-95.355863,"Walipp Senior Residence, 5220 Scott St, Houston, TX 77004"
Walnut Bend Elementary,101912,253,101912253,Elementary School,77042,29.7477294,-95.5641105,"Walnut Bend Elementary School, 10620 Briar Forest Dr, Houston, TX 77042-2320"
Waltrip High School,101912,015,101912015,High School,77018,29.8180764,-95.4323116,"Waltrip High School Baseball Field, Houston, TX 77018"
Washington BT High School,101912,016,101912016,High School,77018,29.821893,-95.3977163,"Washington B T High School, 119 E 39th St, Houston, TX 77018"
Welch Middle School,101912,056,101912056,Middle School,77071,29.654399,-95.5282767,"Welch Middle School, 11544 S Gessner Dr, Houston, TX 77071"
Wesley Elementary,101912,254,101912254,Elementary School,77091,29.8618919,-95.419661,"Wesley Elementary School, 800 Dillard St, Houston, TX 77091-2301"
West Briar Middle School,101912,099,101912099,Middle School,77077,29.7607887,-95.6290263,"Westbriar Middle School, 13733 Brimhurst Dr, Houston, TX 77077"
West University Elementary,101912,255,101912255,Elementary School,77005,29.714959,-95.435506,"West University Elementary, 3756 University Blvd, Houston, TX 77005"
Westbury High School,101912,017,101912017,High School,77035,29.648617,-95.480798,"Westbury High School: School Buildings, Houston, TX 77035"
Westside High School,101912,036,101912036,High School,77077,29.7513271,-95.6388502,"Westside High School, 14201 Briar Forest Dr, Houston, TX 77077"
Wharton Elementary,101912,256,101912256,Elementary School,77019,29.7541173,-95.3907723,"Wharton Elementary School, 900 W Gray St, Houston, TX 77019-4226"
Wheatley High School,101912,018,101912018,High School,77020,29.7724497,-95.3199367,"Wheatley High School, 4900 Market St, Houston, TX 77020-6517"
Whidby Elementary,101912,257,101912257,Elementary School,77021,29.6824527,-95.3749387,"Whidby Elementary School, 7625 Springhill St, Houston, TX 77021-6097"
White Elementary,101912,267,101912267,Elementary School,77036,29.6963421,-95.5424434,"White Elementary School, 9001 Triola Ln, Houston, TX 77036-6199"
Whittier Elementary,101912,258,101912258,Elementary School,77029,29.7716161,-95.2435457,"Whittier Elementary School, 10511 La Crosse St, Houston, TX 77029-2111"
Williams Middle School,101912,082,101912082,Middle School,77091,29.8538365,-95.4232724,"M C Williams Middle School, 6100 Knox St, Houston, TX 77091-4143"
Wilson Montessori,101912,259,101912259,Multilevel School,77006,29.7480064,-95.3991059,"Woodrow Wilson Montessori, 2100 Yupon St, Houston, TX 77006"
Windsor Village Elementary,101912,260,101912260,Elementary School,77085,29.6177331,-95.4704974,"Windsor Village Elementary, 14440 Polo St, Houston, TX 77085-3399"
Woodson Elementary,101912,127,101912127,Elementary School,77047,29.6432872,-95.3654941,"Woodson Middle School, 10720 Southview St, Houston, TX 77047-1099"
Woodson Middle School,101912,074,101912074,Middle School,77047,29.6432872,-95.3654941,"Woodson Middle School, 10720 Southview St, Houston, TX 77047-1099"
Worthing High School,101912,019,101912019,High School,77051,29.6566201,-95.3688275,"Worthing High School, 9215 Scott St, Houston, TX 77051-3396"
Yates High School,101912,020,101912020,High School,77004,29.7232848,-95.3546602,"Yates High School: School Buildings, 3703 Sampson St, Houston, TX 77004"
Young Elementary,101912,247,101912247,Elementary School,77051,29.669953,-95.3713275,"Sunny Side Elementary School, 3555 Bellfort St, Houston, TX 77051-1499"
Young Learners,101912,392,101912392,Kindergarten,77057,29.7305911,-95.4802411,"Young Learners, 3333 Bering Dr, Houston, TX 77057"
Young Scholars,101912,371,101912371,Elementary School,77002,29.7527284,-95.3724383,"Young Scholars Academy, 1809 Louisiana St, Houston, TX 77002-8013"
Odessa High School,68901,002,68901002,High School,79763,31.852409,-102.382300,"Odessa High School, 1301 Dotsy Avenue, Odessa, TX 78763-665"
Permian High School,68901,003,68901003,High School,79762,31.887579,-102.357559,"Permian High School, 1800 East 42nd Street, Odessa, TX 79762"
Alternative Education Center,68901,004,68901004,Multilevel School,79762,31.913556,-102.382386,"Alternative Education Center, 1299 E Yukon Rd, Odessa, TX 79762"
Bonham Junior High School,68901,042,68901042,Middle School,79761,31.877849,-102.352753,"Bonham Junior High School, 2201 East 21st Street, Odessa, TX 79761-3041"
Bowie Junior High School,68901,043,68901043,Middle School,79761,31.860884,-102.385768,"Bowie Junior High School, 500 West 21st Street, Odessa, TX 79761-2471"
Crockett Junior High School,68901,044,68901044,Middle School,79763,31.864437,-102.404594,"Crockett Junior High School, 2301 Conover Avenue, Odessa, TX 79763-2100"
Hood Junior High School,68901,045,68901045,Middle School,79762,31.884991,-102.375755,"Hood Junior High School, 600 East 38th Street, Odessa, TX 79762-6839"
Nimitz Junior High School,68901,046,68901046,Middle School,79762,31.902044,-102.347946,"Nimitz Junior High School, 4900 Maple Avenue, Odessa, TX 79762-8000"
Ector Junior High School,68901,047,68901047,High School,79763,31.831847,-102.373438,"Ector Junior High School, 809 West Clements Street, Odessa, TX 79763-4600"
Gale Pond Alamo Elementary School,68901,101,68901101,Elementary School,79761,31.871289,-102.371464,"Gale Pond Alamo Elementary School, 801 East 23rd Street, Odessa, TX 79761-1356"
Austin Elementary School,68901,102,68901102,Elementary School,79761,31.853575,-102.373352,"Austin Elementary School, 200 West 9th Street, Odessa, TX 79761-3956"
Burleson Elementary School,68901,103,68901103,Elementary School,79764,31.877977,-102.390583,"Burleson Elementary School, 3900 Golder Avenue, Odessa, TX 79764-6700"
Burnet Elementary School,68901,104,68901104,Elementary School,79761,31.884718,-102.363546,"Burnet Elementary School, 3700 Permian Drive, Odessa, TX 79761"
Cameron Elementary School,68901,105,68901105,Elementary School,79763,31.840962,-102.396204,"Cameron Elementary School, 2401 West 8th Street, Odessa, TX 79763-3700"
Carver Early Education Center,68901,106,68901106,Kindergarten,79761,31.844698,-102.352876,"Carver Early Education Center, 600 College Avenue, Odessa, TX 79761-7022"
Dowling Elementary School,68901,107,68901107,Elementary School,79761,31.866287,-102.359308,"Dowling Elementary School, 1510 East 17th Street, Odessa, TX 79761-1553"
Goliad Elementary School,68901,110,68901110,Elementary School,79762,31.895253,-102.380693,"Goliad Elementary School, 501 East 52nd Street, Odessa, TX 79762-4300"
Gonzales Elementary School,68901,111,68901111,Elementary School,79761,31.869449,-102.335479,"Gonzales Elementary School, 2700 Disney Street, Odessa, TX 79761-3300"
Hays Elementary School,68901,112,68901112,Elementary School,79761,31.837193,-102.344272,"Hays Elementary School, 1101 East Monahans Street, Odessa, TX 79761-7100"
Sam Houston Elementary School,68901,113,68901113,Elementary School,79762,31.878307,-102.380677,"Sam Houston Elementary School, 300 East 37th Street, Odessa, TX 79762"
Ireland Elementary School,68901,114,68901114,Elementary School,79762,31.891585,-102.362347,"Ireland Elementary School, 4301 Dawn Avenue, Odessa, TX 79762-5767"
Lamar Early Education Center,68901,115,68901115,Kindergarten,79761,31.853808,-102.362076,"Lamar Early Education Center,610 Jefferson Avenue, Odessa, TX 79761-4640"
Milam Elementary School,68901,116,68901116,Elementary School,79761,31.841673,-102.354298,"Milam Elementary School, 815 South Dixie Boulevard, Odessa, TX 79761-6471"
Pease Elementary School,68901,117,68901117,Elementary School,79763,31.854922,-102.402653,"Pease Elementary School, 1800 West 22nd Street, Odessa, TX 79763-2134"
Reagan Magnet School,68901,118,68901118,Elementary School,79761,31.871412,-102.347651,"Reagan Magnet School, 2321 East 21st Street, Odessa, TX 79761"
Ross Elementary School,68901,119,68901119,Elementary School,79762,31.891746,-102.372875,"Ross Elementary School, 4600 North Everglade Avenue, Odessa, TX 79762-6000"
San Jacinto Elementary School,68901,121,68901121,Elementary School,79763,31.856585,-102.390693,"San Jacinto School, 1000 West 19th Street, Odessa, TX 79763-2863"
Travis Elementary School,68901,122,68901122,Elementary School,79761,31.831713,-102.359354,"Travis Elementary School, 1400 South Lee Avenue, Odessa, TX 79761-6883"
Zavala Elementary School,68901,123,68901123,Elementary School,79763,31.832526,-102.377944,"Zavala Elementary School, 1201 Clifford Street, Odessa, TX 79763-4500"
Noel Elementary School,68901,124,68901124,Elementary School,79764,31.865752,-102.408484,"Noel Elementary School, 2200 Newcomb Drive, Odessa, TX 79764-1600"
Blanton Elementary School,68901,125,68901125,Elementary School,79762,31.888834,-102.339583,"Blanton Elementary School, 4101 Lynbrook Avenue, Odessa, TX 79762-7100"
Murry Fly Elementary School,68901,126,68901126,Elementary School,79764,31.856008,-102.519712,"Murry Fly Elementary School, 11688 West Westview Drive, Odessa, TX 79764-9496"
Blackshear Elementary School,68901,127,68901127,Elementary School,79761,31.842434,-102.352796,"Blackshear Elementary Magnet School, 501 South Dixie Boulevard, Odessa, TX 79761-6468"
Johnson Elementary School,68901,128,68901128,Elementary School,79762,31.890795,-102.305975,"Johnson Elementary School, 6401 Amber Drive, Odessa, TX 79762-5406"
Barbara Jordan Elementary School,68901,129,68901129,Elementary School,79765,31.948011,-102.396365,"Barbara Jordan Elementary School, 9400 Rainbow Drive, Odessa, TX 79765-1428"
Lauro Cavazos Elementary School,68901,130,68901130,Elementary School,79763,31.830047,-102.478935,"Lauro Cavazos Elementary School, 9301 West 16th Street, Odessa, TX 79763"
McKinney High School,043907,002,043907002,High School,75069,33.186740,-96.633655,"McKinney High School, 1400 Wilson Creek Pkwy, McKinney, TX 75069"
The LINC Center,043907,003,043907003,High School,75069,33.210686,-96.635144,"The LINC Center, 2100 West White Avenue, McKinney, TX 75069"
McKinney North High School,043907,004,043907004,High School,75071,33.231971,-96.645862,"McKinney North High School, 2550 Wilmeth Road, McKinney, TX 75071"
Serenity High,043907,005,043907005,High School,75069,33.210290,-96.635399,"Serenity High, 2100 West White Avenue, McKinney, TX 75069"
County Residential Center,043907,006,043907006,Multilevel School,75069,33.210686,-96.635144,"County Residential Center, 2100 West White Avenue, McKinney, TX 75069"
McKinney Boyd High School,043907,007,043907007,High School,75071,33.202954,-96.679867,"McKinney Boyd High School, 600 North Lake Forest Drive, McKinney, TX 75071"
Faubion Middle School,043907,041,043907041,Middle School,75069,33.204945,-96.632486,"Faubion Middle School, 2000 Doe Rollins, McKinney, TX 75069"
Dowell Middle School,043907,043,043907043,Middle School,75070,33.195162,-96.696095,"Dowell Middle School, 301 South East Ridge Road, McKinney, TX 75070"
Scott Morgan Johnson Middle School,043907,044,043907044,Middle School,75071,33.233934,-96.638470,"Scott Morgan Johnson Middle School, 3400 Community Drive, McKinney, TX 75071"
Leonard Evans Jr Middle School,043907,045,043907045,Middle School,75070,33.175437,-96.706907,"Leonard Evans Jr Middle School, 6998 W. Eldorado Parkway, McKinney, TX 75070"
Dr Jack Cockrill Middle School,043907,046,043907046,Middle School,75071,33.211278,-96.667164,"Dr Jack Cockrill Middle School, 1351 N. Hardin Road, McKinney, TX 75071"
Finch Elementary,043907,102,043907102,Elementary School,75069,33.186859,-96.616634,"Finch Elementary, 1205 South Tennessee Street, McKinney, TX 75069"
Webb Elementary,043907,104,043907104,Elementary School,75069,33.197323,-96.607426,"Webb Elementary, 810 East Louisiana St., McKinney, TX 75069"
Burks Elementary,043907,105,043907105,Elementary School,75069,33.201965,-96.629518,"Burks Elementary, 1801 Hill Street, McKinney, TX 75069"
Caldwell Elementary,043907,107,043907107,Elementary School,75069,33.196443,-96.621969,"Caldwell Elementary, 601 W. Louisiana, McKinney, TX 75069"
Valley Creek Elementary,043907,108,043907108,Elementary School,75070,33.173678,-96.653831,"Valley Creek Elementary, 2800 Valley Creek Trail, McKinney, TX 75070"
Glen Oaks Elementary,043907,109,043907109,Elementary School,75070,33.188551,-96.696226,"Glen Oaks Elementary, 6100 Glen Oaks Drive, McKinney, TX 75070"
Slaughter Elementary,043907,111,043907111,Elementary School,75071,33.201148,-96.647386,"Slaughter Elementary, 2706 Wolford Avenue, McKinney, TX 75071"
Reuben Johnson Elementary,043907,112,043907112,Elementary School,75070,33.167561,-96.686077,"Reuben Johnson Elementary, 3400 Ash Lane,McKinney, TX 75070"
C T Eddins Elementary,043907,113,043907113,Elementary School,75070,33.198311,-96.729995,"C.T. Eddins Elementary, 311 Peregrine Drive, McKinney, TX 75070"
Roy Lee Walker Elementary,043907,115,043907115,Elementary School,75070,33.177080,-96.673146,"Roy Lee Walker Elementary, 4000 Cockrill Drive, McKinney, TX 75070"
Earl and Lottie Wolford Elementary,043907,116,043907116,Elementary School,75070,33.178127,-96.707770,"Earl and Lottie Wolford Elementary, 6951 Berkshire Rd, McKinney, TX 75070"
Arthur H McNeil Elementary School,043907,117,043907117,Elementary School,75070,33.162033,-96.664396,"Arthur H McNeil Elementary School, 3650 Hardin Boulevard, McKinney, TX 75070"
Albert and Iola Lee Davis Malvern Elementary School,043907,118,043907118,Elementary School,75069,33.179398,-96.633199,"Albert and Iola Lee Davis Malvern Elementary School, 1100 Eldorado Parkway, McKinney, TX 75069"
Jose De Jesus and Maria Luisa Vega Elementary,043907,119,043907119,Elementary School,75071,33.223752,-96.646897,"Jose De Jesus and Maria Luisa Vega Elementary, 2511 Cattleman Drive, McKinney, TX 75071"
Dean and Mildred Bennett Elementary,043907,120,043907120,Elementary School,75070,33.186080,-96.717421,"Dean and Mildred Bennett Elementary, 7760 Coronado Drive, McKinney, TX 75070"
Gary and Bobbye Jack Minshew Elementary,043907,121,043907121,Elementary School,75070,33.200910,-96.692415,"Gary and Bobbye Jack Minshew Elementary, 300 Joplin Drive, McKinney, TX 75070"
J B Wilmeth Elementary,043907,122,043907122,Elementary School,75069,33.212075,-96.717643,"J B Wilmeth Elementary, 901 LaCima Drive, McKinney, TX 75069"
Jesse McGowen Elementary School,043907,123,043907123,Elementary School,75070,33.154931,-96.673958,"Jesse McGowen Elementary School, 4300 Columbus Drive, McKinney, TX 75070"
Naomi Press Elementary School,043907,124,043907124,Elementary School,75071,33.241276,-96.621800,"Naomi Press Elementary School, 4101 Shawnee Drive, McKinney, TX 75071"
Herman Lawson Early Childhood Center,043907,125,043907125,Kindergarten,75071,33.202158,-96.647152,"Herman Lawson Early Childhood Center, 500 Dowell Street, McKinney, TX 75071"
Lizzie Nell Cundiff McClure Elementary,043907,126,043907126,Elementary School,75071,33.215638,-96.698439,"Lizzie Nell Cundiff McClure Elementary, 1753 N. Ridge Rd., McKinney, TX 75071"
Collin County JJAEP,043907,197,043907197,Multilevel School,75069,33.210686,-96.635144,"JJAEP, 2100 West White Avenue, McKinney, TX 75069"
Wylie High School,043914,001,043914001,High School,75098,33.011007,-96.571466,"Wylie High School, 2550 W Hwy 544, Wylie, TX 75098"
Wylie East High School,043914,003,043914003,High School,75098,33.016601,-96.494272,"Wylie East High School, 3000 Wylie East Drive, Wylie, TX 75098"
